,PROVINSI,Total_Deforestasi,Luas_Perkebunan_Sawit,Produksi_Sawit
0,ACEH,11208.5,351923.0,106053
1,BALI,0.0,0.0,0
2,BANTEN,128.1,15696.0,3477
3,BENGKULU,4874.5,361069.0,130576
4,DI YOGYAKARTA,27.2,0.0,0
5,DKI JAKARTA,-2.7,0.0,0
6,GORONTALO,1665.8,13853.0,275
7,JAMBI,8290.6,789512.0,223323
8,JAWA BARAT,173.0,14656.0,4349
9,JAWA TENGAH,-54.8,0.0,0
10,JAWA TIMUR,915.8,0.0,0
11,KALIMANTAN BARAT,8878.7,1823474.0,54374
12,KALIMANTAN SELATAN,4100.4,456109.0,133799
13,KALIMANTAN TENGAH,16054.3,1912526.0,847332
14,KALIMANTAN TIMUR,19206.8,1191085.0,394415
15,KALIMANTAN UTARA,5256.2,201806.0,62564
16,KEPULAUAN BANGKA BELITUNG,5664.1,199606.0,88892
17,KEPULAUAN RIAU,381.4,6427.0,2355
18,LAMPUNG,213.2,178819.0,45974
19,MALUKU,666.5,9769.0,2083
20,MALUKU UTARA,1357.9,5695.0,2352
21,NUSA TENGGARA BARAT,2139.1,0.0,0
22,NUSA TENGGARA TIMUR,1120.0,0.0,0
23,PAPUA,5859.5,125311.0,63481
24,PAPUA BARAT,4125.3,57767.0,8153
25,PAPUA PEGUNUNGAN,255.3,0.0,0
26,RIAU,29702.1,2319372.0,93676
27,SULAWESI BARAT,6824.3,109306.0,38545
28,SULAWESI SELATAN,5809.6,31690.0,1330
29,SULAWESI TENGAH,4871.2,122779.0,44546
30,SULAWESI TENGGARA,7925.9,51096.0,745
31,SULAWESI UTARA,103.8,0.0,0
32,SUMATERA BARAT,6634.2,364078.0,14034
33,SUMATERA SELATAN,4027.1,996511.0,395137
34,SUMATERA UTARA,7034.9,1138864.0,505715
