PROVINSI,Total_Deforestasi,Luas_Perkebunan_Sawit,Produksi_Sawit
ACEH,11208.5,351923.0,106053
BALI,0.0,0.0,0
BANTEN,128.1,15696.0,3477
BENGKULU,4874.5,361069.0,130576
DI YOGYAKARTA,27.2,0.0,0
DKI JAKARTA,-2.7,0.0,0
GORONTALO,1665.8,13853.0,275
JAMBI,8290.6,789512.0,223323
JAWA BARAT,173.0,14656.0,4349
JAWA TENGAH,-54.8,0.0,0
JAWA TIMUR,915.8,0.0,0
KALIMANTAN BARAT,8878.7,1823474.0,54374
KALIMANTAN SELATAN,4100.4,456109.0,133799
KALIMANTAN TENGAH,16054.3,1912526.0,847332
KALIMANTAN TIMUR,19206.8,1191085.0,394415
KALIMANTAN UTARA,5256.2,201806.0,62564
KEPULAUAN BANGKA BELITUNG,5664.1,199606.0,88892
KEPULAUAN RIAU,381.4,6427.0,2355
LAMPUNG,213.2,178819.0,45974
MALUKU,666.5,9769.0,2083
MALUKU UTARA,1357.9,5695.0,2352
NUSA TENGGARA BARAT,2139.1,0.0,0
NUSA TENGGARA TIMUR,1120.0,0.0,0
PAPUA,502.7,125311.0,11443
PAPUA BARAT,376.6,57767.0,2509
PAPUA BARAT DAYA,3748.7,0.0,5644
PAPUA PEGUNUNGAN,255.3,0.0,0
PAPUA SELATAN,4938.8,0.0,48336
PAPUA TENGAH,418.0,0.0,3702
RIAU,29702.1,2319372.0,93676
SULAWESI BARAT,6824.3,109306.0,38545
SULAWESI SELATAN,5809.6,31690.0,1330
SULAWESI TENGAH,4871.2,122779.0,44546
SULAWESI TENGGARA,7925.9,51096.0,745
SULAWESI UTARA,103.8,0.0,0
SUMATERA BARAT,6634.2,364078.0,14034
SUMATERA SELATAN,4027.1,996511.0,395137
SUMATERA UTARA,7034.9,1138864.0,505715
