PROVINSI,Total_Deforestasi,LP_Rakyat,LP_Negara,LP_Swasta,Produksi_Sawit
ACEH,11208.5,178592.0,27724.0,145607.0,106053
BALI,0.0,0.0,0.0,0.0,0
BANTEN,128.1,3782.0,10324.0,1590.0,3477
BENGKULU,4874.5,272649.0,857.0,87563.0,130576
DI YOGYAKARTA,27.2,0.0,0.0,0.0,0
DKI JAKARTA,-2.7,0.0,0.0,0.0,0
GORONTALO,1665.8,2754.0,0.0,11099.0,275
JAMBI,8290.6,531415.0,18257.0,239839.0,223323
JAWA BARAT,173.0,184.0,10503.0,3969.0,4349
JAWA TENGAH,-54.8,0.0,0.0,0.0,0
JAWA TIMUR,915.8,0.0,0.0,0.0,0
KALIMANTAN BARAT,8878.7,486739.0,15579.0,1321156.0,54374
KALIMANTAN SELATAN,4100.4,88883.0,5553.0,361673.0,133799
KALIMANTAN TENGAH,16054.3,295775.0,0.0,1616751.0,847332
KALIMANTAN TIMUR,19206.8,145085.0,10125.0,1035874.0,394415
KALIMANTAN UTARA,5256.2,28053.0,0.0,173753.0,62564
KEPULAUAN BANGKA BELITUNG,5664.1,64513.0,0.0,135093.0,88892
KEPULAUAN RIAU,381.4,689.0,0.0,5738.0,2355
LAMPUNG,213.2,92107.0,7849.0,78864.0,45974
MALUKU,666.5,354.0,0.0,9414.0,2083
MALUKU UTARA,1357.9,0.0,0.0,5695.0,2352
NUSA TENGGARA BARAT,2139.1,0.0,0.0,0.0,0
NUSA TENGGARA TIMUR,1120.0,0.0,0.0,0.0,0
PAPUA,502.7,10832.0,0.0,114480.0,11443
PAPUA BARAT,376.6,21335.0,0.0,36433.0,2509
PAPUA BARAT DAYA,3748.7,0.0,0.0,0.0,5644
PAPUA PEGUNUNGAN,255.3,0.0,0.0,0.0,0
PAPUA SELATAN,4938.8,0.0,0.0,0.0,48336
PAPUA TENGAH,418.0,0.0,0.0,0.0,3702
RIAU,29702.1,1352806.0,73517.0,893050.0,93676
SULAWESI BARAT,6824.3,73641.0,0.0,35666.0,38545
SULAWESI SELATAN,5809.6,25646.0,5181.0,862.0,1330
SULAWESI TENGAH,4871.2,45113.0,0.0,77666.0,44546
SULAWESI TENGGARA,7925.9,3851.0,954.0,46291.0,745
SULAWESI UTARA,103.8,0.0,0.0,0.0,0
SUMATERA BARAT,6634.2,187227.0,7499.0,169352.0,14034
SUMATERA SELATAN,4027.1,429963.0,24355.0,542193.0,395137
SUMATERA UTARA,7034.9,412544.0,261694.0,464627.0,505715
