No,PROVINSI,Hutan_Konservasi,Hutan_Lindung,Hutan_Produksi_Terbatas,Hutan_Produksi_Tetap,Hutan_Produksi_Konversi,Area_Pengguna_Lain,Jumlah
1,ACEH,817.1,2023.9,279.3,2182.8,18.0,5887.3,11208.5
2,SUMATERA UTARA,513.6,1363.0,1262.4,639.8,161.5,3094.6,7034.9
3,SUMATERA BARAT,1065.7,1511.4,1025.6,544.0,702.5,1785.1,6634.2
4,RIAU,2277.9,2292.6,7911.8,11227.5,1887.8,4104.6,29702.1
5,JAMBI,890.7,556.9,2918.6,2075.8,2.4,1846.2,8290.6
6,SUMATERA SELATAN,512.9,1053.8,1193.6,511.1,0.0,755.7,4027.1
7,BENGKULU,799.5,449.4,2440.2,690.5,0.0,494.9,4874.5
8,LAMPUNG,85.9,96.7,2.8,0.0,0.0,27.8,213.2
9,KEPULAUAN BANGKA BELITUNG,77.1,409.0,0.0,2959.0,0.0,2219.0,5664.1
10,KEPULAUAN RIAU,0.0,15.3,72.3,33.8,50.5,209.4,381.4
11,DKI JAKARTA,0.0,0.0,0.0,0.0,0.0,-2.7,-2.7
12,JAWA BARAT,13.8,-5.9,10.3,77.1,0.0,77.6,173.0
13,JAWA TENGAH,0.0,0.0,31.4,23.2,0.0,-109.3,-54.8
14,DI YOGYAKARTA,0.0,0.0,0.0,0.0,0.0,27.2,27.2
15,JAWA TIMUR,500.5,184.9,0.0,204.7,0.0,25.7,915.8
16,BANTEN,0.0,0.0,29.7,0.0,0.0,98.5,128.1
17,BALI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,NUSA TENGGARA BARAT,15.8,1105.3,438.2,489.6,0.0,90.2,2139.1
19,NUSA TENGGARA TIMUR,2.2,146.8,120.1,86.7,2.5,761.7,1120.0
20,KALIMANTAN BARAT,112.1,779.3,2302.3,-1636.6,-232.7,7554.3,8878.7
21,KALIMANTAN TENGAH,84.5,344.8,2973.3,5762.4,3420.6,3468.7,16054.3
22,KALIMANTAN SELATAN,86.8,387.4,-234.8,1643.0,20.9,2197.0,4100.4
23,KALIMANTAN TIMUR,57.1,188.5,7609.9,1994.8,1293.0,8063.4,19206.8
24,KALIMANTAN UTARA,12.9,107.9,730.8,1460.1,213.4,2731.1,5256.2
25,SULAWESI UTARA,3.4,6.4,69.7,7.9,0.0,16.4,103.8
26,SULAWESI TENGAH,145.6,441.8,1090.6,713.8,543.9,1935.5,4871.2
27,SULAWESI SELATAN,178.8,1752.7,607.3,391.0,0.0,2879.8,5809.6
28,SULAWESI TENGGARA,62.4,1288.5,2076.0,2245.2,369.4,1884.4,7925.9
29,GORONTALO,-71.4,47.7,-74.6,6.1,-21.3,1779.3,1665.8
30,SULAWESI BARAT,75.3,1367.3,2707.6,863.9,262.1,1548.0,6824.3
31,MALUKU,2.3,60.4,113.7,75.9,310.4,103.9,666.5
32,MALUKU UTARA,3.2,40.3,504.6,264.8,287.2,257.7,1357.9
33,PAPUA,49.6,23.9,90.7,65.1,11.4,262.0,502.7
34,PAPUA BARAT,31.5,32.5,83.4,12.4,39.6,177.3,376.6
35,PAPUA SELATAN,3.8,381.7,10.4,60.7,2115.3,2366.9,4938.8
36,PAPUA TENGAH,14.2,63.5,78.7,4.5,150.4,106.7,418.0
37,PAPUA PEGUNUNGAN,141.5,45.4,3.3,29.4,31.6,4.2,255.3
38,PAPUA BARAT DAYA,12.6,48.1,16.7,26.8,56.1,3588.3,3748.7
