PROVINSI,Total_Deforestasi,Luas_Perkebunan_Sawit,Produktivitas_Sawit,Kategori_Deforestasi
RIAU,29702.1,2319372.0,0.040388518961167,Sangat Tinggi
KALIMANTAN TIMUR,19206.8,1191085.0,0.3311392553847962,Sangat Tinggi
KALIMANTAN TENGAH,16054.3,1912526.0,0.4430433886911864,Sangat Tinggi
ACEH,11208.5,351923.0,0.3013528527547219,Sangat Tinggi
KALIMANTAN BARAT,8878.7,1823474.0,0.0298189061099856,Sangat Tinggi
JAMBI,8290.6,789512.0,0.2828620717607839,Sangat Tinggi
SULAWESI TENGGARA,7925.9,51096.0,0.0145803976827931,Sangat Tinggi
SUMATERA UTARA,7034.9,1138864.0,0.4440521431882999,Sangat Tinggi
SULAWESI BARAT,6824.3,109306.0,0.352633890179862,Sangat Tinggi
SUMATERA BARAT,6634.2,364078.0,0.0385466850510055,Tinggi
PAPUA,6114.8,125311.0,0.5065876100262546,Tinggi
SULAWESI SELATAN,5809.6,31690.0,0.0419690754181129,Tinggi
KEPULAUAN BANGKA BELITUNG,5664.1,199606.0,0.4453373145095838,Tinggi
KALIMANTAN UTARA,5256.2,201806.0,0.3100205147517913,Tinggi
BENGKULU,4874.5,361069.0,0.3616372493900058,Tinggi
