Provinsi,Kelapa_Sawit,Kelapa,Karet,Kopi,Kakao,Tebu,Teh,Tembakau
ACEH,106053,6306,5362,7108,3651,0,0,221
SUMATERA UTARA,505715,10468,26693,919,3943,1452,932,194
SUMATERA BARAT,14034,7914,11084,132,3275,0,558,14
RIAU,93676,40774,19133,184,84,0,0,0
JAMBI,223323,1154,23594,2061,75,0,466,18
SUMATERA SELATAN,395137,6112,64818,20947,386,1094,267,4
BENGKULU,130576,709,7185,5409,313,0,189,0
LAMPUNG,45974,8163,9061,14193,4788,65945,0,55
KEP. BANGKA BELITUNG,88892,513,2975,9,3,0,0,0
KEP. RIAU,2355,1222,1013,0,1,0,0,0
DKI JAKARTA,0,0,0,0,0,0,0,0
JAWA BARAT,4349,8794,190,2555,69,4867,8421,854
JAWA TENGAH,0,15183,2176,2692,142,23603,1346,5534
DI YOGYAKARTA,0,4973,0,127,185,322,23,54
JAWA TIMUR,0,2166,1787,4805,1989,127339,213,21357
BANTEN,3477,4583,697,199,212,0,1,0
BALI,0,6825,0,1371,482,0,0,26
NUSA TENGGARA BARAT,0,4981,0,646,262,1822,0,6757
NUSA TENGGARA TIMUR,0,6411,0,2583,1973,1077,0,78
KALIMANTAN BARAT,54374,7713,16697,297,6,0,0,0
KALIMANTAN TENGAH,847332,1667,11715,23,159,0,0,0
KALIMANTAN SELATAN,133799,2421,13397,94,6,0,0,0
KALIMANTAN TIMUR,394415,110,5667,2,98,0,0,0
KALIMANTAN UTARA,62564,64,17,17,84,0,0,0
SULAWESI UTARA,0,26856,0,373,557,0,0,0
SULAWESI TENGAH,44546,19505,213,331,12472,0,0,6
SULAWESI SELATAN,1330,6707,439,3063,7697,2256,0,167
SULAWESI TENGGARA,745,429,3,288,10788,1541,0,0
GORONTALO,275,6672,0,13,193,5389,0,0
SULAWESI BARAT,38545,367,0,475,6717,0,0,0
MALUKU,2083,10827,75,45,853,0,0,0
MALUKU UTARA,2352,20427,0,1,742,0,0,0
PAPUA BARAT,2509,194,0,1,26,0,0,0
PAPUA BARAT DAYA,5644,1435,0,0,76,0,0,0
PAPUA,11443,977,0,9,80,0,0,0
PAPUA SELATAN,48336,435,482,0,1,0,0,0
PAPUA TENGAH,3702,12,0,77,82,0,0,0
PAPUA PEGUNUNGAN,0,2,0,229,0,0,0,0
