PROVINSI,Luas_Perkebunan_Sawit,Produksi_Sawit,Total_Deforestasi
ACEH,351923.0,106053,11208.5
BALI,0.0,0,0.0
BANTEN,15696.0,3477,128.1
BENGKULU,361069.0,130576,4874.5
DI YOGYAKARTA,0.0,0,27.2
DKI JAKARTA,0.0,0,-2.7
GORONTALO,13853.0,275,1665.8
JAMBI,789512.0,223323,8290.6
JAWA BARAT,14656.0,4349,173.0
JAWA TENGAH,0.0,0,-54.8
JAWA TIMUR,0.0,0,915.8
KALIMANTAN BARAT,1823474.0,54374,8878.7
KALIMANTAN SELATAN,456109.0,133799,4100.4
KALIMANTAN TENGAH,1912526.0,847332,16054.3
KALIMANTAN TIMUR,1191085.0,394415,19206.8
KALIMANTAN UTARA,201806.0,62564,5256.2
KEPULAUAN BANGKA BELITUNG,199606.0,88892,5664.1
KEPULAUAN RIAU,6427.0,2355,381.4
LAMPUNG,178819.0,45974,213.2
MALUKU,9769.0,2083,666.5
MALUKU UTARA,5695.0,2352,1357.9
NUSA TENGGARA BARAT,0.0,0,2139.1
NUSA TENGGARA TIMUR,0.0,0,1120.0
PAPUA,125311.0,11443,502.7
PAPUA BARAT,57767.0,2509,376.6
PAPUA BARAT DAYA,0.0,5644,3748.7
PAPUA PEGUNUNGAN,0.0,0,255.3
PAPUA SELATAN,0.0,48336,4938.8
PAPUA TENGAH,0.0,3702,418.0
RIAU,2319372.0,93676,29702.1
SULAWESI BARAT,109306.0,38545,6824.3
SULAWESI SELATAN,31690.0,1330,5809.6
SULAWESI TENGAH,122779.0,44546,4871.2
SULAWESI TENGGARA,51096.0,745,7925.9
SULAWESI UTARA,0.0,0,103.8
SUMATERA BARAT,364078.0,14034,6634.2
SUMATERA SELATAN,996511.0,395137,4027.1
SUMATERA UTARA,1138864.0,505715,7034.9
